,L_blade,W_blade,H_blade
0,8.2688592834604,0.373158005072242,2.93270967988308
1,9.43490351830518,0.373256245852936,2.88620998126876
2,9.57107909223453,0.387325506394553,2.88422970313346
3,9.38112267022376,0.453760084985583,3.09186607746683
4,9.96208389017347,0.549522170843816,3.51993916430851
5,11.456921041168902,0.6783196685238171,4.436448773512048
6,13.9155659153874,0.901250435860701,6.7425893040682485
7,17.4387628654362,1.1323933133506,9.64339842755662
8,20.6555678789308,1.25888916265839,12.87095548446231
9,20.5430937500269,1.36956790757636,16.76396143539247
10,16.1511234155349,1.46981191080135,22.385985833895397
11,10.806878078049,1.47091245181753,29.639417211712498
